Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#
Theft,5530 S. Ellis (Ratner A.C.),2/16/17 9:33 AM,2/15/17 6:30 PM to 7:00 PM,Unattended wallet taken from unsecured locker in men's locker room,Open,17-00136
Found Property,850 E. 61st St. (UCPD HQ),2/16/17 1:46 PM,2/16/17 11:30 AM,First Transit Shuttle Bus driver found an iPhone on the bus and turned it over to UCPD / Inventoried for safekeeping,Closed,17-00137
Information,5656 S. Maryland (Parking Structure),2/17/17 11:12 AM,2/17/17 11:00 AM,Unauthorized individual was found trespassing in the parking structure / Issued a written trespass warning,Closed,17-00138
Information / Burglary,Greenwood between 53rd & 54th,2/18/17 10:02 AM,2/18/17 12:15 AM to 7:40 AM,"Unknown person(s) gained entry to a private apartment off-campus, possibly via an unsecured rear door, and took property / CPD case",CPD,17-00139
Information,5550 S. University (Crown Field House),2/18/17 2:01 PM,2/18/17 12:40 PM to 2:00 PM,"Bag taken from secured locker in men's locker room and found, intact, in another location in the room",Closed,17-00140
Domestic Battery,Kimbark between 55th & 56th,2/18/17 10:54 PM,2/18/17 10:54 PM,"During the course of an argument, husband battered wife with his fists and pulled her hair in vestibule of private apartment building off-campus / Victim treated on scene by CFD EMS / Suspect arrested by UCPD",Arrest,17-00141
Liquor Law Violation,5900 S. University (Public Way),2/19/17 2:01 AM,2/19/17 2:01 AM,Underage individual became ill after consuming alcoholic beverages transported to ER by CFD EMS,Referred,17-00142
Non-Criminal Damage to Property,915 E. 60th St. (Logan Center),2/19/17 8:24 PM,2/19/17 7:40 PM,Desk broken after an unknown person put weight upon it,Closed,17-00143
Stalking,6031 S. Ellis (Granville-Grossman RH),2/20/17 11:07 AM,2/1/17  Unknown time,"DSS notified by a Campus Security Authority that an undisclosed victim reported being stalked by an ex-boyfriend / Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report   17-011
Criminal Damage to Property,820 E. 56th St.,2/20/17 12:57 PM,1/14/16 7:45 AM,"Delayed report - Complainant reports he observed an unknown person cause damage to his vehicle while parked, unoccupied on the public way / Suspect cracked windshield and scratched door and bumper",Closed,17-00144
Lost Property,5747 S. University,2/20/17 7:02 PM,2/18/17 to 2/19/17 10:30 PM to 12:45 AM,Individual reports losing a Galaxy 6 cell phone after attending a frat party,Closed,17-00145
Information / Armed Robbery,836 E. 63rd St.,2/20/17 7:19 PM,2/20/17 7:00 PM,"Four passengers, one armed with a handgun took a cell phone from an Uber driver off-campus / CPD case JA161245",CPD,17-00146
Theft,5550 S. University (Crown Field House),2/20/17 7:22 PM,2/18/17  5:00 PM to 6:30 PM,Watch taken from secured locker in men's locker room,Open,17-00147
Information / Theft,Blackstone between 51st & 52nd,2/20/17 8:55 PM,2/20/17 6:15 PM to 7:00 PM,Unsecured bicycle taken from off-campus private apartment building / CPD case JA161371,CPD,17-00148
Attempt Burglary,Hyde Park between 55th & 56th,2/20/17 9:55 PM,2/20/17 9:45 PM,Suspect was seen using tools in an attempt to force entry to front door of off-campus private apartment building / Suspect arrested by UCPD officer,Arrest,17-00149
Theft,6041 S. Blackstone (Storage Yard),2/21/17 10:57 AM,9/9/16 to 2/21/17 8:00 AM to 8:00 AM,9 bags of crushed granite taken from Facilities storage site,Open,17-00150
No Incident Reports this date 2/22/17
Lost Property,1118 E. 58th to 6031 S. Ellis,2/23/17 1:12 PM,2/18/17  1:00 PM to 3:00 PM,"Individual reports losing a wallet containing currency, credit cards, and ID from a back pack",Closed,17-00151
Disturbance,5758 S. Maryland (DCAM),2/23/17 1:18 PM,2/23/17 12:30 PM,Irate individual created a disturbance / Left before police arrived,Closed,17-00152
Mental Health Transport,5555 S. Woodlawn (Student Health & Counseling),2/23/17 4:37 PM,2/23/17 4:37 PM,Individual transported to the ER for evaluation and treatment,Closed,17-00153
Theft,5550 S. University (Crown Field House),2/23/17 11:00 PM,2/23/17 9:00 PM to 10:30 PM,"Unattended, unsecured jacket taken from floor of weight room / Individual located jacket / No theft occurred",Unfounded,17-00154
No Incident Reports this date - 2/24/17
Lost Property,915 E. 60th St. (Logan Center),2/25/17 12:24 AM,2/24/17 9:10 PM to 10:00 PM,Individual reported cell phone lost from his pocket while in the building,Closed,17-00155
Liquor Law Violation,5630 S. Ellis (Max Palevsky RH),2/26/17 3:35 AM,2/26/17 3:35 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,17-00156
Void,Void,Void,Void,Number generated in error,Void,17-00157
Stalking,1100 E. 57th St. (Mansueto Library),2/27/17 12:19 PM,January - February '17,Person reports being stalked by an individual at various locations and dates / Follow up investigation revealed the elements of a crime are lacking / Incident is Unfounded,Unfounded,17-00158
Criminal Damage to Property,5835 S. Greenwood (Stuart Hall),2/27/17 1:44 PM,2/24/17 to 2/27/17 9:00 AM to 1:40 PM,Graffiti scrawled on wall in ground level stairwell,Open,17-00159
Lost Property,5721 S. Maryland (Comer Hospital),2/27/17 2:35 PM,2/25/17 to 2/26 /17 8:00 PM to 5:00 AM,Patient's boots misplaced,Closed,17-00160
Found Property,Blackstone between 52nd & 53rd,2/27/16 3:35 PM,2/27/17 3:35 PM,Individual found a plastic replica BB gun in the bushes along the sidewalk off-campus / Inventoried by UCPD,Closed,17-00161
Medical Call,5640 S. University (Bartlett Commons),2/27/17 7:50 PM,2/27/17 7:50 PM,Sick person transported to ER by CFD EMS for evaluation and treatment,Closed,17-00162
Information / Motor Vehicle Theft,1225 E. 52nd St.,2/27/17 7:42 PM,2/24/17 to 2/27/17 9:00 AM to 7:00 PM,Individual reported car that had been parked on the street off-campus was taken / CPD case,CPD,17-00163
Lost Property,5758 S. Maryland (DCAM),2/28/17 8:58 AM,2/28/17 6:55 AM  to 7:55 AM,Staff member reports losing cell phone in the building,Closed,17-00164
Found Property,6158 S. Greenwood (Public Way),2/28/17 12:20 PM,2/28/17 7:00 AM,Resident found wallet on the public way / UCPD located owner / Wallet returned intact,Closed,17-00165
Found Property,850 E. 61st St.,2/28/17 2:08 PM,2/27/17 10:00 PM,Driver of First Transit bus found cell phone on the bus / Turned over to UCPD for safekeeping,Closed,17-00166
Sexual Assault / Fondling,5700 S. Stony Island (Stony Island RH),10/17/17 1:22 PM,Unknown date and time,"DSS was notified by a Campus Security Authority that an undisclosed victim reported being fondled by an acquaintance in the residence hall on an unknown date and time in February 2017 / Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report    17-037
Void,Void,Void,Void,Number generated in error,Void,17-00167
Mental Health Transport,5656 S. Maryland (Parking Structure),3/2/17 2:17 AM,3/2/17 2:17 AM,Individual transported to ER for evaluation and treatment,Closed,17-00168
Domestic Battery,5730 S. Drexel (Comer Hospital),3/3/17 1:30 PM,3/3/17 1:20 PM,Boyfriend slapped girlfriend on the face during an argument / Suspect arrested by UCPD,Arrest,17-00169
Found Property,850 E. 61st St. (UCPD HQ),3/3/17 2:35 PM,3/3/17 2:35 PM,First Transit supervisor turned over a credit card that was found on a shuttle bus / Owner contacted,Closed,17-00170
Mental Health Transport,901 E. 58th St. (Mitchell ER),3/3/17 9:47 PM,3/3/17 9:47 PM,Individual transported to Jackson Park Hospital for evaluation and treatment,Closed,17-00171
Found Narcotics,5700 S. Maryland (CCD),3/3/17 11:38 PM,3/3/17 11:38 PM,Staff found controlled substances and syringes among patient's property / Syringes disposed of and narcotics inventoried for proper disposal,Closed,17-00172
Found Property,5500 S. Kimbark (Public Way),3/4/17 8:03 AM,3/4/17 8:03 AM,Citizen found handbag on the public way / Turned over to UCPD for safekeeping,Closed,17-00173
Injured Person,5643 S. Cottage Grove (Facilities Bldg.),3/4/17 8:28 PM,3/4/17 3:30 AM,"Staff member slipped on ice while pumping gas, injuring right knee / Declined medical attention",Closed,17-00174
Domestic Battery,5730 S. Drexel (Private Vehicle),3/5/17 5:54 AM,3/5/17 5:50 AM,Boyfriend / Girlfriend involved in an argument that became physical / Both parties declined medical attention and both declined to press charges,Ex. Cleared,17-00175
Information / Armed Robbery,1501 E. 57th St. (Public Way),3/5/17 9:52 PM,3/5/17 9:40 PM,"A suspect, armed with a handgun, took property from two individuals walking on the sidewalk off-campus / Victims reported no physical injuries / CPD case",CPD,17-00176
Disturbance,5730 S. Drexel (Comer Hospital),3/5/17 11:34 PM,3/5/17 11:30 PM,Argument involving two groups of people / Peace restored,Closed,17-00177
Theft,6025 S. Ellis (Cathy Dining Commons),3/6/17 1:55 PM,2/27/17 5:10 PM to 5:20 PM,Unattended winter hat taken from table top,Open,17-00178
Theft,5811 S. Ellis (Cobb Hall),3/6/17 2:17 PM,3/6/17 2:14 PM to 2:16 PM,Book bag containing laptop left unattended in hallway taken by unknown person,Open,17-00179
Information / Armed Robbery,1122 E. 46th St. (Public Way),3/6/17 9:56 PM,3/6/17 9:55 PM,Unknown suspect armed with a handgun took wallet and cash from a victim walking on the sidewalk off-campus / Suspect entered a waiting VW SUV and fled eastbound on 46th St. / CPD case JA177652,CPD,17-00180
No Incident Reports this date - 3/7/17
Information / Burglary,Kimbark between 51st & 52nd,3/8/17 2:44 PM,3/8/17 11:30 AM to 1:00 PM,Unknown person(s) entered off-campus private apartment by forcing the front door and took various property / CPD case JA179931,CPD,17-00181
Recovered Motor Vehicle,1500 E. 61st St.,3/9/17 1:00 AM,3/9/17 1:00 AM,"UCPD officers recovered a parked, unoccupied vehicle that had been reported stolen to CPD / Discovered via in-car LPR system / CPD case JA156517",CPD,17-00182
Liquor Law Violation,1005 E. 60th St. (Burton-Judson RH),3/9/17 2:47 AM,3/9/17 2:47 AM,Two individuals became ill after consuming alcoholic beverages / Both transported to ER by CFD EMS for evaluation and treatment,Referred,17-00183
Void,Void,Void,Void,Number generated in error,Void,17-00184
Found Property,850 E. 61st St. (UCPD HQ),3/9/17 3:51 PM,3/9/17 8:50 PM,Individual found a wallet on the CTA 172 bus / Turned wallet over to UCPD for safekeeping,Closed,17-00185
Criminal Damage to Property,5730 S. Ellis (Crerar Library),3/9/17 9:20 PM,3/9/17 9:20 PM,Report of suspicious individual running near the Quadrangle / Unauthorized individual located and admitted to previously posting signs on University property / Given oral and written trespass warning and informed he would be subject to arrest upon return / Subsequent investigation revealed signs posted in various locations on campus buildings and grounds / Incident reclassified to Criminal Damage to Property / Suspect arrested by UCPD Investigations subsequent to a warrant on 3/16/17 / Charged with felony Criminal Damage to Property,Arrest,17-00186
Liquor Law Violation,6031 S. Ellis (Granville-Grossman RH),3/10/17 12:18 AM,3/10/17 12:18 AM,Underage individual became ill after consuming alcoholic beverages / Transported to the hospital by CFD EMS,Referred,17-00187
Lost Property,5801 S. Ellis,3/10/17 12:04 PM,2/13/17 12:00 PM,Individual reported loss of driver's license,Closed,17-00188
Void,Void,Void,Void,Number generated in error,Void,17-00189
Theft,5807 S. Woodlawn (Booth School),3/10/17 6:39 PM,3/10/17 2:30 PM to 5:30 PM,"Unattended, unsecured book bag taken from study room / Book bag later recovered in washroom minus an iPhone and laptop computer / A suspect was identified through follow up investigation, however, the victim refused to prosecute",Ex. Cleared,17-00190
Information / Fire Alarm,6031 S. Ellis (Granville-Grossman RH),3/11/17 2:16 AM,3/11/17 2:16 AM,Pull box fire alarm activated / Building evacuated / CFD responded / No fire / Residents returned to the building,Closed,17-00191
Deceptive Practice,5812 S. Ellis (Citi Bank),3/11/17 11:43 AM,3/8/17 to 3/11/17 12:30 PM to 10:00 AM,Individual received a fraudulent check that was deposited to account,Open,17-00192
Assist Other Agency / Domestic Battery,4625 S. Drexel,3/11/17 2:33 PM,3/11/17 2:33 PM,UCPD officers detained a suspect wanted by CPD for domestic battery and parole violation / Suspect was identified and arrested by CPD,CPD,17-00193
Theft,950 E. 59th St. (Peck Pavilion),3/12/17 11:30 AM,3/11/17 to 3/12/17 8:00 PM to 10:30 AM,"Two laptop computers, cash, and charger taken from separate workstations in shared research office",Open,17-00194
Void,Void,Void,Void,Number generated in error,Void,17-00195
Medical Call,5800 S. University (Public Way),3/13/17 5:36 AM,3/13/17 5:36 AM,Sick person transported to ER by CFD EMS for evaluation and treatment,Closed,17-00196
Criminal Sexual Assault,Burton-Judson RH,3/13/17 1:58 PM,3/4/17 unknown time,"DSS was notified by a Campus Security Authority that an undisclosed victim was sexually assaulted by an acquaintance / Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report      17-016
Criminal Trespass to Land,5807 S. Woodlawn (Booth School),3/13/17 4:15 PM,3/13/17 4:00 PM,Unauthorized individual who had received prior written notice not to trespass on University property was placed under arrest by UCPD officer / A second unauthorized individual was located and given a trespass warning,Arrest,17-00197
Lost Property,5640 S. University (Bartlett Commons),3/13/17 5:53 PM,3/6/17 to 3/12/17 8:30 PM to 7:30 PM,"Subsequent to an inventory, approximately 370 forks were reported missing",Closed,17-00198
Injured Person,5800 S. Stony Island,3/14/17 8:19 AM,3/13/17 7:45 AM,Individual walking into Shapiro Hall parking lot was struck on the top of the head as the parking gate lowered,Closed,17-00199
Traffic Crash,60th & Drexel,3/14/17 10:07 AM,3/14/17 10:07 AM,"UC owned vehicle struck in the rear by another vehicle / No injuries reported, property damage only / MVA 2017-00200",Closed,17-00200
Information / Aggravated Assault,1405 E. 53rd St.,3/14/17 9:14 AM,3/14/17 9:05 AM,Suspect menaced a store employee with a knife as he was being escorted from the establishment for smoking / Suspect fled before police arrived / CPD case JA186440,CPD,17-00201
Injured Person,929 E. 57th St. (Gordon Center),3/14/17 1:32 PM,3/14/17 1:30 PM,Individual found laying on floor in a room with contusion to the forehead / Transported to ER by CFD EMS for evaluation and treatment,Closed,17-00202
Found Property,6054 S. Drexel,3/14/17 4:43 PM,3/14/17 4:43 PM,Handbag found in 1st floor lobby at 6054 S. Drexel / Inventoried by UCPD for safekeeping,Closed,17-00203
Lost Property,1226 E. 53rd St. (Parking Lot),3/14/17 6:50 PM,3/14/17 11:45 AM to 6:45 PM,Staff member reports loss of UCM ID,Closed,17-00204
